AMP_3901	AMP_3901
AMP_3901	AMP_3902
AMP_3901	AMP_3903
AMP_3901	AMP_3904
AMP_3901	AMP_3905
AMP_3901	AMP_3906
AMP_3901	AMP_3907
AMP_3901	AMP_6104
AMP_3901	AMP_6105
AMP_3918	AMP_3918
AMP_3919	AMP_3919
AMP_3919	AMP_3002
AMP_3920	AMP_3920
AMP_3920	AMP_3921
AMP_3922	AMP_3922
AMP_3923	AMP_3923
AMP_3924	AMP_3924
AMP_3925	AMP_3925
AMP_3926	AMP_3926
AMP_3927	AMP_3927
AMP_3929	AMP_3929
AMP_3933	AMP_3933
AMP_3933	AMP_3934
AMP_3940	AMP_3940
AMP_3947	AMP_3947
AMP_3947	AMP_21
AMP_3947	AMP_1808
AMP_3947	AMP_2293
AMP_3947	AMP_3943
AMP_3947	AMP_3944
AMP_3947	AMP_3945
AMP_3947	AMP_3946
AMP_3947	AMP_4309
AMP_3947	AMP_4310
AMP_3947	AMP_4312
AMP_3947	AMP_4313
AMP_3947	AMP_4314
AMP_3947	AMP_4316
AMP_3947	AMP_4666
AMP_3947	AMP_5969
AMP_3947	AMP_5978
AMP_3947	AMP_5980
AMP_3947	AMP_4315
AMP_3947	AMP_5973
AMP_3947	AMP_5653
AMP_3947	AMP_5968
AMP_3947	AMP_5990
AMP_3947	AMP_1809
AMP_3947	AMP_4311
AMP_3947	AMP_5972
AMP_3948	AMP_3948
AMP_3948	AMP_5341
AMP_3948	AMP_5342
AMP_3949	AMP_3949
AMP_3951	AMP_3951
AMP_3951	AMP_3950
AMP_3952	AMP_3952
AMP_3955	AMP_3955
AMP_3957	AMP_3957
AMP_3958	AMP_3958
AMP_3961	AMP_3961
AMP_3961	AMP_3956
AMP_3961	AMP_3959
AMP_3961	AMP_3960
AMP_3962	AMP_3962
AMP_3963	AMP_3963
AMP_3964	AMP_3964
AMP_3965	AMP_3965
AMP_3966	AMP_3966
AMP_3969	AMP_3969
AMP_3969	AMP_5765
AMP_3970	AMP_3970
AMP_3973	AMP_3973
AMP_3974	AMP_3974
AMP_3974	AMP_3975
AMP_3986	AMP_3986
AMP_3986	AMP_3976
AMP_3986	AMP_3977
AMP_3986	AMP_3978
AMP_3986	AMP_3979
AMP_3986	AMP_3980
AMP_3986	AMP_3981
AMP_3986	AMP_3982
AMP_3986	AMP_3983
AMP_3986	AMP_3984
AMP_3986	AMP_3985
AMP_3986	AMP_3987
AMP_3986	AMP_3989
AMP_3986	AMP_3991
AMP_0	AMP_0
AMP_0	AMP_123
AMP_0	AMP_127
AMP_0	AMP_128
AMP_0	AMP_129
AMP_0	AMP_130
AMP_0	AMP_131
AMP_0	AMP_132
AMP_0	AMP_133
AMP_0	AMP_134
AMP_0	AMP_678
AMP_0	AMP_679
AMP_0	AMP_680
AMP_0	AMP_125
AMP_2	AMP_2
AMP_2	AMP_3290
AMP_2	AMP_3291
AMP_2	AMP_3292
AMP_2	AMP_3293
AMP_2	AMP_3294
AMP_2	AMP_3295
AMP_2	AMP_3296
AMP_2	AMP_3299
AMP_2	AMP_3300
AMP_2	AMP_3301
AMP_2	AMP_3302
AMP_2	AMP_5274
AMP_2	AMP_5541
AMP_2	AMP_6117
AMP_3	AMP_3
AMP_3	AMP_4
AMP_5	AMP_5
AMP_6	AMP_6
AMP_7	AMP_7
AMP_7	AMP_8
AMP_9	AMP_9
AMP_10	AMP_10
AMP_11	AMP_11
AMP_12	AMP_12
AMP_13	AMP_13
AMP_14	AMP_14
AMP_15	AMP_15
AMP_17	AMP_17
AMP_18	AMP_18
AMP_19	AMP_19
AMP_19	AMP_20
AMP_22	AMP_22
AMP_23	AMP_23
AMP_24	AMP_24
AMP_25	AMP_25
AMP_26	AMP_26
AMP_27	AMP_27
AMP_28	AMP_28
AMP_29	AMP_29
AMP_30	AMP_30
AMP_31	AMP_31
AMP_32	AMP_32
AMP_33	AMP_33
AMP_34	AMP_34
AMP_35	AMP_35
AMP_36	AMP_36
AMP_37	AMP_37
AMP_38	AMP_38
AMP_40	AMP_40
AMP_40	AMP_3108
AMP_40	AMP_3043
AMP_40	AMP_3044
AMP_40	AMP_3051
AMP_41	AMP_41
AMP_43	AMP_43
AMP_44	AMP_44
AMP_46	AMP_46
AMP_46	AMP_45
AMP_47	AMP_47
AMP_48	AMP_48
AMP_49	AMP_49
AMP_50	AMP_50
AMP_51	AMP_51
AMP_52	AMP_52
AMP_53	AMP_53
AMP_54	AMP_54
AMP_55	AMP_55
AMP_55	AMP_56
AMP_57	AMP_57
AMP_58	AMP_58
AMP_59	AMP_59
AMP_60	AMP_60
AMP_61	AMP_61
AMP_62	AMP_62
AMP_63	AMP_63
AMP_64	AMP_64
AMP_65	AMP_65
AMP_66	AMP_66
AMP_67	AMP_67
AMP_68	AMP_68
AMP_69	AMP_69
AMP_70	AMP_70
AMP_71	AMP_71
AMP_72	AMP_72
AMP_80	AMP_80
AMP_80	AMP_76
AMP_80	AMP_77
AMP_80	AMP_78
AMP_80	AMP_79
AMP_80	AMP_2655
AMP_80	AMP_4357
AMP_80	AMP_4358
AMP_80	AMP_4359
AMP_80	AMP_4360
AMP_80	AMP_4361
AMP_80	AMP_4362
AMP_80	AMP_4363
AMP_80	AMP_4364
AMP_80	AMP_4365
AMP_80	AMP_4366
AMP_80	AMP_4373
AMP_80	AMP_4378
AMP_80	AMP_4379
AMP_80	AMP_4380
AMP_80	AMP_4381
AMP_80	AMP_4382
AMP_80	AMP_4383
AMP_80	AMP_4384
AMP_80	AMP_4385
AMP_80	AMP_4386
AMP_80	AMP_4387
AMP_80	AMP_4388
